Gene.ID,logFC,logCPM,LR,PValue,FDR,tax_level,genus_tax_id,name,category
-100,0,9.24881777060748,0,1,1,1,-200,all taxa with neither family nor genus classification,N/A
101564,0,9.26115390869434,6.78829064071351e-08,0.999792116380042,1,1,286,Pseudomonas alcaliphila,bacteria
1017,0.956013465774958,9.25633915263169,4.32746984913024e-08,0.999834019494201,1,1,1016,Capnocytophaga gingivalis,bacteria
1030157,0.529446778235874,9.26079822585507,4.86942051125538e-08,0.999823932702437,1,1,13687,Sphingomonas sp. KC8,bacteria
104336,0,9.26339813041151,5.17032763269754e-08,0.999818574181995,1,1,33882,Microbacterium foliorum,bacteria
1047172,0,9.24881777060748,0,1,1,1,1817,Nocardia sp. CS682,bacteria
1048396,0,9.24881777060748,0,1,1,1,1209988,Halopenitus persicus,archaea
1049583,0,9.26187315462348,4.79368331696151e-08,0.999825307311736,1,1,57493,Kocuria indica,bacteria
105560,0,9.25949198235051,5.02863040097168e-08,0.999821077517133,1,1,316612,Methylibium petroleiphilum,bacteria
1061,0,9.25394553059171,4.97042478286858e-08,0.999822116031037,1,1,1060,Rhodobacter capsulatus,bacteria
1063,-2.26919192795165,9.27675929576391,9.63784705376725e-08,0.999752297682684,1,1,1060,Rhodobacter sphaeroides,bacteria
106590,0,9.25628574217272,2.79690155480239e-08,0.999866562268659,1,1,106589,Cupriavidus necator,bacteria
106648,0,9.26110560194745,6.6963475653381e-08,0.999793529005243,1,1,469,Acinetobacter bereziniae,bacteria
106649,0.131510850079811,9.78827819803433,0.0126168431471712,0.910565940607774,1,1,469,Acinetobacter guillouiae,bacteria
106654,-1.51368004380889,9.27879828318608,2.92855215633381e-08,0.999863457911656,1,1,469,Acinetobacter nosocomialis,bacteria
107401,0,9.24881777060748,0,1,1,1,104267,Tenacibaculum maritimum,bacteria
1076,0,9.25411632702715,3.35914811522287e-08,0.999853763886659,1,1,1073,Rhodopseudomonas palustris,bacteria
1076550,-1.16739930041302,9.25919490094702,7.09130576481698e-08,0.999787527287515,1,1,53335,Pantoea rwandensis,bacteria
1082851,2.0454021255488,9.27469781617393,3.1113596143939e-08,0.999859260772031,1,1,283,Comamonas serinivorans,bacteria
108486,0.868680457985695,9.25996232619522,4.45693739692388e-08,0.999831554922039,1,1,1716,Corynebacterium falsenii,bacteria
108980,0.868680457985695,9.26348898815618,4.38446505768297e-08,0.999832930041414,1,1,469,Acinetobacter ursingii,bacteria
108981,-3.70009497701507,9.29694904374849,6.57005778327005,0.010370858366709,1,1,469,Acinetobacter schindleri,bacteria
1096856,0,9.24881777060748,0,1,1,1,1847,Pseudonocardia sp. EC080619-01,bacteria
1096868,-0.942836521482315,9.25537112300017,4.66529832543472e-08,0.99982766250809,1,1,1847,Pseudonocardia sp. EC080625-04,bacteria
1097667,0,9.2622725273704,9.01125174479489e-08,0.999760485055535,1,1,361607,Patulibacter medicamentivorans,bacteria
109790,-1.4894349579892,9.26159101996669,1.60141373051204e-07,0.999680705216115,1,1,1578,Lactobacillus jensenii,bacteria
111015,-1.55362783691195,9.26313861840403,1.48486928530644e-07,0.999692543157562,1,1,1654,Actinomyces radicidentis,bacteria
1115758,0,9.24881777060748,0,1,1,1,1501226,Romboutsia ilealis,bacteria
1117645,-2.05804530872831,13.0522185526239,1.49234564781279,0.221852875722467,1,1,308865,Elizabethkingia anophelis,bacteria
1121358,-0.935450714140002,9.25522904353724,5.11751339082878e-08,0.999819503181347,1,1,1716,Corynebacterium doosanense,bacteria
1124835,-2.2106199097607,9.281456637656,3.39212210076943,0.06550858678532,1,1,59732,Chryseobacterium carnipullorum,bacteria
113107,-1.65889161428728,9.26600292129747,1.33946634228721e-07,0.999707984466193,1,1,1301,Streptococcus australis,bacteria
1134687,0,9.25886967231506,8.29456121564931e-08,0.999770207016491,1,1,570,Klebsiella michiganensis,bacteria
114,0.503676088614897,9.27655510554364,7.99204133983267e-08,0.999774436452347,1,1,113,Gemmata obscuriglobus,bacteria
114051,0,9.24881777060748,0,1,1,1,1269,uncultured Micrococcus sp.,bacteria
1141883,-0.94955539337565,9.26323468792829,1.66453421712731e-07,0.999674473451834,1,1,149698,Massilia putida,bacteria
114424,0,9.24881777060748,0,1,1,1,10509,Ovine mastadenovirus A,viruses
1144668,-1.55362783691195,9.26313861840403,1.48486928530644e-07,0.999692543157562,1,1,469,Acinetobacter sp. CIP 102529,bacteria
114529,0,9.24881777060748,0,1,1,1,2251,Haloferax alexandrinus,archaea
1149952,0,9.24881777060748,0,1,1,1,234,Brucella sp. 09RB8471,bacteria
115808,2.02276679495882,9.27386658460702,3.11659293927846e-08,0.999859142459664,1,1,374,Bradyrhizobium sp. ORS 285,bacteria
1173280,0,9.24881777060748,0,1,1,1,286,Pseudomonas sp. R2-60-08W,bacteria
117567,0,9.24881777060748,0,1,1,1,1866885,Mycolicibacterium frederiksbergense,bacteria
1176587,-1.58883686261121,9.26405009398851,1.40694723427259e-07,0.999700719130914,1,1,379899,Niabella ginsenosidivorans,bacteria
1176649,0,9.25311261483978,1.20113279322709e-07,0.999723474258921,1,1,357,Agrobacterium fabrum,bacteria
1177574,0,9.24881777060748,0,1,1,1,838,Prevotella jejuni,bacteria
1179670,0.741412210027378,9.38742182010105,1.36429931998673,0.242793759427074,1,1,1269,Micrococcus sp. KBS0714,bacteria
119219,-1.50255692143637,9.27416869059822,1.30870859038623e-07,0.999711356668436,1,1,106589,Cupriavidus metallidurans,bacteria
1195817,0,9.24881777060748,0,1,1,1,-200,bacterium EBAD26,bacteria
1211,0,9.24881777060748,0,1,1,1,-200,uncultured cyanobacterium,bacteria
1223514,0,9.27610694100992,5.11228517297013e-08,0.999819595405612,1,1,1716,Corynebacterium humireducens,bacteria
12260,0,9.24881777060748,0,1,1,1,12258,Bean pod mottle virus,viruses
1226968,0,9.24881777060748,0,1,1,1,191,Azospirillum humicireducens,bacteria
1230998,0.529446778235874,9.25222650127673,7.1467960882643e-08,0.999786697595173,1,1,1716,Corynebacterium frankenforstense,bacteria
1235645,0,9.24881777060748,0,1,1,1,1982251,Propionibacterium phage PHL010M04,viruses
1235651,0,9.24881777060748,0,1,1,1,1982251,Propionibacterium phage PHL073M02,viruses
1241978,0,9.24881777060748,0,1,1,1,59732,Chryseobacterium bernardetii,bacteria
