Gene.ID,logFC..Intercept.,logFC.meta2.temperature28,logFC.meta2.temperature32,logFC.meta2.temperature35,logCPM,LR,PValue,FDR,genus_tax_id,tax_level,name,category
-100,-8.06365509335871,-0.612689799855987,-1.80796646856919,-0.530130286993118,11.2518546454208,374.798500413384,7.73782480509878e-80,8.24959615967502e-80,-200,1,all taxa with neither family nor genus classification,0
-200,-8.06365509335871,-0.612689799855987,-1.80796646856919,-0.530130286993118,11.2518546454208,374.798500413384,7.73782480509878e-80,8.24959615967502e-80,-200,2,all taxa with neither family nor genus classification,0
100233,-22.5435759485,-1.73899456989485,-1.73899456989485,-1.73899456989485,-0.319645073662502,2165.8168003551,0,0,-200000126,1,uncultured Planctomycetaceae bacterium,bacteria
100235,-24.2825705183948,0,1.25446662692121,0,-0.319514508950508,2159.54260834852,0,0,-200,1,uncultured actinomycete,bacteria
100371,-24.2825705183948,0,4.16907891900545,0,0.00455315866528149,2123.77728339637,0,0,-200,1,uncultured Planctomycetales bacterium,bacteria
1004901,-24.2825705183948,1.05905671526305,0,1.97881451774123,-0.193218730919503,2122.92698970074,0,0,2053,1,Gordonia iterans,bacteria
1005039,-22.6665181886132,-1.61605232978163,5.16192898647099,0.112369167655116,0.938151310018494,2028.57430435029,0,0,1005038,1,Fimbriimonas ginsengisoli,bacteria
1005286,-24.2825705183948,0,0.367541209653297,0,-0.345055987504081,2172.83610862444,0,0,407,1,Methylobacterium sp. OX1_1_1_S1,bacteria
1006,-13.7774423408202,-9.85573667749016,-10.5051281775746,-10.5051281775746,4.014311412854,2020.33515453476,0,0,869806,1,Marivirga tractuosa,bacteria
1007105,-24.2825705183948,0,0,0,-0.351004069937352,0,1,1,305976,1,Pusillimonas sp. T7-7,bacteria
1008,-24.2825705183948,0,0,0,-0.351004069937352,0,1,1,1007,1,Saprospira grandis,bacteria
100901,-24.2825705183948,0,0,2.89498394134966,-0.16137526313553,2139.11330106926,0,0,953,1,Wolbachia endosymbiont of Onchocerca ochengi,bacteria
