Gene.ID,logFC,logCPM,LR,PValue,FDR,genus_tax_id,tax_level,name,category
-100,-1.80796646856919,11.2518546454208,6.26831339009537,0.0122916090336029,0.0299363445448379,-200,1,all taxa with neither family nor genus classification,0
-200,-1.80796646856919,11.2518546454208,6.26831339009537,0.0122916090336029,0.0299363445448379,-200,2,all taxa with neither family nor genus classification,0
100233,-1.73899456989485,-0.319645073662502,12.1350497500274,0.000494829484844942,0.00154403071691154,-200000126,1,uncultured Planctomycetaceae bacterium,bacteria
100235,1.25446662692121,-0.319514508950508,5.00629774944721,0.0252552622684533,0.0555243391104752,-200,1,uncultured actinomycete,bacteria
100371,4.16907891900545,0.00455315866528149,22.3295114995812,2.29650115062339e-06,1.0421475264081e-05,-200,1,uncultured Planctomycetales bacterium,bacteria
1004901,0,-0.193218730919503,0,1,1,2053,1,Gordonia iterans,bacteria
1005039,5.16192898647099,0.938151310018494,28.4307133827467,9.71123878327208e-08,5.47158190555478e-07,1005038,1,Fimbriimonas ginsengisoli,bacteria
1005286,0.367541209653297,-0.345055987504081,1.398699200974,0.236941488224328,0.38534471302294,407,1,Methylobacterium sp. OX1_1_1_S1,bacteria
1006,-10.5051281775746,4.014311412854,109.118785034006,1.52846145509613e-25,3.35859293422438e-23,869806,1,Marivirga tractuosa,bacteria
1007105,0,-0.351004069937352,0,1,1,305976,1,Pusillimonas sp. T7-7,bacteria
1008,0,-0.351004069937352,0,1,1,1007,1,Saprospira grandis,bacteria
100901,0,-0.16137526313553,0,1,1,953,1,Wolbachia endosymbiont of Onchocerca ochengi,bacteria
1010,-5.90228229180123,3.02557416413217,46.3815687973741,9.73267222659404e-12,9.4497457083791e-11,28453,1,Sphingobacterium mizutaii,bacteria
101385,0.251524098986665,-0.121000639049215,0.182102061523437,0.669572951132805,0.973691073138092,153265,1,Aequorivita sublithincola,bacteria
1014,-1.6791553007407,0.660722826648267,4.82274240017821,0.0280866246171311,0.0611521811995388,1013,1,Weeksella virosa,bacteria
1015,-1.43608971257068,2.39121186873645,3.83762548582325,0.0501144461625802,0.101049448861574,59735,1,Bergeyella zoohelcum,bacteria
101564,2.18189015360672,-0.272553844075342,9.82315436833625,0.00172328538498013,0.00482543023627902,286,1,Pseudomonas alcaliphila,bacteria
101571,-0.64703432445308,7.67080261277927,0.826803872708496,0.363198353667248,0.564119466726473,32008,1,Burkholderia ubonensis,bacteria
1016963,0,-0.331187925612024,0,1,1,1663,1,Arthrobacter sp. TT4,bacteria
1016987,4.67050124084011,0.489740852939955,24.0806911652931,9.23820069566047e-07,4.41298488608495e-06,165696,1,Novosphingobium sp. THN1,bacteria
1017,5.32185968118021,5.48866078390792,36.1747535706345,1.80392466371123e-09,1.27004814013396e-08,1016,1,Capnocytophaga gingivalis,bacteria
1019,-2.02087539141249,4.09090019042087,7.61444210492346,0.00579026700034427,0.0148400029014348,1016,1,Capnocytophaga sputigena,bacteria
102116,-2.68126653162076,-0.183542920658752,11.7133339586659,0.000620538428830402,0.00189520697905408,102115,1,Stanieria cyanosphaera,bacteria
102346,3.47406398672959,-0.135741414404996,17.9398882466772,2.27992430125379e-05,8.73273757590328e-05,-200,1,uncultured bacterium D1-11,bacteria
1027273,0,-0.328264030416959,0,1,1,305899,1,Endozoicomonas montiporae,bacteria
1028416,-2.9555832801212,1.16103613444843,14.442671410086,0.000144490994878244,0.000486884506550983,497,1,Psychrobacter sp. DAB_AL43B,bacteria
1028989,0.765586281462334,0.0177375841471286,2.80994512838083,0.0936815799841821,0.177539989302751,286,1,Pseudomonas sp. StFLB209,bacteria
102937,1.31399275891286,0.151923913905029,5.34381006423135,0.0207959727539888,0.0487496834631687,-200,1,uncultured bacterium BS1,bacteria
1030157,0.229819239221168,-0.340591703272338,0.75766271803314,0.384060960232816,0.591244287969041,13687,1,Sphingomonas sp. KC8,bacteria
1030799,0,-0.0668972407559295,0,1,1,-200,1,Acidobacteria bacterium UCL-085,bacteria
1031224,-5.39956992748277,0.791413694271998,48.254945145237,3.74253194530552e-12,3.82967423324768e-11,79328,1,Chitinophaga oryziterrae,bacteria
1032072,0,0.118909986273179,0,1,1,28196,1,Arcobacter molluscorum,bacteria
1032527,6.5015520852522,2.61099988517346,38.6169523683621,5.15690644488773e-10,3.90037761003737e-09,1032526,1,Pedosphaera parvula,bacteria
1032851,-2.56325660889279,-0.202508993280106,11.4897784247284,0.000699799789867341,0.00211255540325107,1716,1,Corynebacterium nuruki,bacteria
1034889,-3.45661924159313,9.38350644982695,20.3109144052663,6.58240272367732e-06,2.76474158665521e-05,34072,1,Variovorax sp. HW608,bacteria
1035,0,-0.269571656289319,0,1,1,1033,1,Afipia felis,bacteria
103731,-1.40008220892245,4.3538360415958,5.15439181769881,0.0231876548215511,0.0528755623830227,2071,1,Saccharothrix espanaensis,bacteria
103855,-2.16813129238594,1.47963901161016,7.91472670842526,0.00490339869020898,0.0127311502062329,517,1,Bordetella hinzii,bacteria
104,-6.16006868465296,0.502792558293726,56.1314163595133,6.77852818096267e-14,8.73467751713554e-13,68288,1,Cyclobacterium marinum,bacteria
104087,0.676114522559641,0.0866088166512175,2.61446543212618,0.105893204402956,0.196761004821047,286,1,Pseudomonas frederiksbergensis,bacteria
1041504,-5.86843781928139,1.68750345660724,53.5617773986905,2.50587661929935e-13,2.97216900158374e-12,49082,1,Candidatus Arthromitus sp. SFB-rat-Yit,bacteria
