Gene ID,tax_level,genus_tax_id,name,category,SRR11440601,SRR11440602,SRR11440603,SRR11440604,SRR11440605,SRR11440606,SRR11440607,SRR11440608,SRR11440609,SRR11440610,SRR11440611,SRR11440612,SRR11440613,SRR11440614,SRR11440615,SRR11440616,SRR11440617,SRR11440618,SRR11440619,SRR11440620,SRR11440621,SRR11440622,SRR11440623,SRR11440624,SRR11440625,SRR11440626,SRR11440627,SRR11440628,SRR11440629,SRR11440630,SRR11440631,SRR11440632,SRR11440633,SRR11440634,SRR11440635,SRR11440636,SRR11440637,SRR11440638,SRR11440639,SRR11440640,SRR11440641,SRR11440642,SRR11440643,SRR11440644,SRR11440645,SRR11440646,SRR11440647,SRR11440648,SRR11440649,SRR11440650,SRR11440651,SRR11440652,SRR11440653,SRR11440654,SRR11440655,SRR11440656,SRR11440657,SRR11440658,SRR11440659,SRR11440660,SRR11440661,SRR11440662,SRR11440663,SRR11440664,SRR11440665,SRR11440666,SRR11440667,SRR11440668,SRR11440669,SRR11440670,SRR11440671,SRR11440672,SRR11440673,SRR11440674,SRR11440675,SRR11440676,SRR11440677,SRR11440678,SRR11440679,SRR11440680,SRR11440681,SRR11440682,SRR11440683,SRR11440684,SRR11440685,SRR11440686,SRR11440687,SRR11440688,SRR11440689,SRR11440690,SRR11440691,SRR11440692,SRR11440693,SRR11440694,SRR11440695,SRR11440696,SRR11440697,SRR11440698,SRR11440699,SRR11440700,SRR11440701,SRR11440702,SRR11440703,SRR11440704,SRR11440705,SRR11440706,SRR11440707,SRR11440708,SRR11440709,SRR11440710,SRR11440711,SRR11440712,SRR11440713,SRR11440714,SRR11440715,SRR11440716,SRR11440717,SRR11440718,SRR11440719,SRR11440720,SRR11440721,SRR11440722,SRR11440723,SRR11440724,SRR11440725,SRR11440726,SRR11440727,SRR11440728,SRR11440729,SRR11440730,SRR11440731,SRR11440732,SRR11440733,SRR11440734,SRR11440735,SRR11440736,SRR11440737,SRR11440738,SRR11440739,SRR11440740,SRR11440741,SRR11440742,SRR11440743,SRR11440744
1980610,1,1980421,Phasi Charoen-like phasivirus,viruses,1425,8477,7805,8229,8353,1464,2348,2269,2382,2409,2201,2048,2231,2096,478,420,2142,467,455,1276,1272,1373,1449,1165,948,1075,966,2071,1738,1547,1742,1734,394,463,305,263,2555,2700,2092,2675,2943,1727,1337,1630,1383,581,557,495,1678,1296,1541,1397,2914,2582,2882,2748,1614,1304,1433,1634,1705,1643,1602,1842,1606,2029,1813,1525,1192,1300,1498,699,3481,3256,3675,3423,2528,300,269,424,286,2328,1989,2015,2214,2012,661,665,774,662,2760,2688,2410,2817,2733,1298,1159,1759,1182,2821,2373,2816,2738,2359,223,147,242,190,727,779,765,788,552,2261,1095,910,1058,1114,2638,2749,2589,2516,1009,892,661,900,1050,1689,1541,1524,1727,1561,1528,2980,2582,3136,3071,2262,2121,2302,2293,1453,638,634
2603435,1,-200011006,Aedes aegypti totivirus,viruses,244,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,22,73,0,0,0,25,0,0,0,0,0,0,0,38,3,0,45,0,0,0,0,0,0,0,181,0,87,64,0,0,0,6,0,200,0,0,199,0,133,0,20,0,250,0,0,0,11,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,65,31,25,0,0,0,73,0,0,0,0,0,0,0,9,0,279,116,0,91,67,0,0,0,0,0,57,54,0,0,0,0,0,0,0,0,0,89
2230910,1,1884455,Aedes anphevirus,viruses,0,0,311,0,0,0,0,0,0,0,0,0,85,0,229,581,0,0,0,559,788,611,0,0,0,0,0,0,2249,1737,1636,1324,0,0,246,244,971,923,123,1477,1033,940,1221,1188,1231,862,576,617,1904,1813,2491,1818,0,0,294,0,173,95,0,0,0,0,0,0,936,794,783,293,427,435,276,0,168,0,0,0,486,0,0,0,0,0,673,482,647,486,640,0,597,857,953,933,0,892,805,1348,1004,1428,1412,625,528,1052,1062,0,0,287,0,0,553,388,482,398,861,0,859,451,706,0,682,446,679,452,1396,865,0,930,992,1297,549,0,0,476,404,0,342,562,551,402,389,0,352,0,97,0
2059675,1,1884455,Aedes aegypti anphevirus,viruses,0,0,67,58,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,129,72,341,164,0,0,0,0,0,11,164,325,712,114,0,0,8,861,613,0,0,407,419,158,49,0,451,318,431,9,562,489,682,37,4,0,0,0,6,0,0,7,0,0,149,115,381,475,21,12,0,0,38,0,0,0,247,0,0,0,0,0,0,30,0,37,192,753,0,419,0,239,276,194,700,288,440,932,0,245,429,411,232,33,15,0,0,0,166,34,140,163,75,266,0,155,119,29,148,0,173,143,270,0,481,0,252,288,11,0,178,0,105,78,150,119,84,0,0,0,231,0,0,5,0
1898440,1,55968,Leucobacter sp.,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55969,1,55968,Leucobacter komagatae,bacteria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2714935,1,55968,Leucobacter sp. HDW9C,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2714933,1,55968,Leucobacter sp. HDW9A,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1,308865,Elizabethkingia meningoseptica,bacteria,95,6,2,6,11,24,167,140,125,137,61,30,34,26,32,48,127,40,38,127,128,120,124,104,113,109,94,115,115,97,91,94,130,96,115,137,199,107,155,139,129,179,97,334,193,403,457,689,125,113,155,159,360,316,309,347,443,415,187,476,371,95,54,86,85,85,67,470,441,537,455,64,21,35,50,38,114,130,100,102,118,97,29,34,32,22,58,70,81,66,77,53,113,40,52,64,66,54,63,198,187,207,163,129,299,321,142,329,456,411,410,470,418,142,456,409,494,429,12,13,22,16,175,147,70,203,169,53,162,157,26,259,127,40,23,30,40,166,120,151,135,24,88,69
1117645,1,308865,Elizabethkingia anophelis,bacteria,15,8,0,3,0,2,16,24,21,12,14,20,6,16,4,4,16,6,3,27,16,12,20,18,16,37,20,22,11,19,15,20,49,32,15,27,24,20,13,18,21,24,29,19,25,64,33,51,30,13,29,23,19,26,20,27,23,24,2,20,15,20,14,28,19,15,12,23,17,20,16,4,15,11,10,16,24,18,8,18,32,13,6,10,12,6,6,9,6,11,12,23,20,25,31,29,22,24,28,38,32,39,41,9,53,34,38,45,29,33,37,37,30,14,31,39,40,64,4,4,5,7,23,30,12,28,18,19,38,26,12,17,39,15,10,5,2,20,22,13,11,0,28,13
1498,1,1769729,Hathewaya histolytica,bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2607735,1,-200,Guadeloupe mosquito virus,viruses,296,158,148,172,273,294,1120,1141,1195,1246,297,296,279,189,256,193,524,325,242,0,0,236,119,168,33,159,103,529,646,393,440,352,91,0,213,43,367,401,460,242,556,228,265,310,224,905,488,816,311,272,310,174,197,438,240,462,374,353,342,385,314,361,255,220,700,757,543,518,933,916,952,148,339,158,352,420,256,372,397,389,526,144,151,171,212,197,306,304,297,305,66,100,207,111,103,0,201,65,75,128,107,199,117,256,579,574,609,740,415,304,362,378,666,605,383,349,283,277,500,413,292,631,1554,1297,128,1616,1413,741,82,99,278,114,98,892,712,1016,923,2400,2152,2256,2140,192,149,147
1670677,1,-200,Humaita-Tubiacanga virus,viruses,66,10,12,12,26,34,148,156,156,168,54,40,48,46,32,20,148,36,36,62,20,42,56,42,28,38,24,164,80,44,70,44,24,22,36,18,70,56,116,62,64,38,18,30,46,172,90,154,96,70,96,92,48,24,42,44,38,52,42,36,56,64,64,64,18,10,10,132,132,114,114,8,22,24,14,20,24,46,62,50,78,22,26,14,24,28,18,18,18,16,2,2,26,2,6,6,18,6,14,12,20,18,22,24,84,98,84,78,98,76,62,92,122,138,44,36,58,82,22,38,44,22,104,76,4,118,118,8,26,14,52,46,32,38,30,22,12,262,162,224,252,54,0,10
2507131,1,-200,Renna virus,viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
