Gene.ID,logFC,logCPM,LR,PValue,FDR,tax_id,tax_level,genus_tax_id,name
1,-0.554612699936875,17.3483119454464,3.21352911161723,0.0730318029188494,1,37124,1,11019,Chikungunya virus
10058,0.505203765927308,2.52232751494638,4.68179983670325e-09,0.99994540580304,1,1810504,1,1934947,Immundisolibacter cernigliae
10060,0.572907589979979,2.55767901585379,4.60752369590978e-09,0.999945840599321,1,148447,1,1822464,Paraburkholderia phymatum
10101,-1.46333378940917,4.22561086787577,2.35382650259908e-07,0.999612896347898,1,1296,1,1279,Staphylococcus sciuri
10107,-1.15622332606201,3.01095234847306,1.13744386354142e-07,0.999730905364967,1,482564,1,1158,Oscillatoria nigro-viridis
10113,-0.81607811090862,2.63100645578188,6.78918654628546e-08,0.999792102662455,1,404011,1,22,Shewanella piezotolerans
10114,-0.869082833031824,2.64474619262495,7.02980864630831e-08,0.999788450595006,1,535744,1,413496,Cronobacter universalis
1012,-0.613528770809846,2.92645634604924,1.18168557605713e-07,0.999725721970839,1,549,1,53335,Pantoea agglomerans
10120,-1.72968565676256,3.27181771030526,6.64065105127065e-08,0.999794389453893,1,41,1,40,Stigmatella aurantiaca
10122,-0.81607811090862,2.63100645578188,6.78918654628546e-08,0.999792102662455,1,33964,1,1243,Leuconostoc citreum
10124,-0.742399295466808,2.6382264059129,4.64318361537153e-10,0.999982807145392,1,160660,1,1765964,Acidihalobacter prosperus
10126,-0.563768801771038,2.53732139236598,9.559034630513e-08,0.99975331254072,1,708126,1,1470540,Jeotgalibaca dankookensis
10127,-0.81607811090862,2.63100645578188,6.78918654628546e-08,0.999792102662455,1,1231,1,35798,Nitrosospira multiformis
10130,-0.443797920373737,2.4952641486263,3.41069128495519e-08,0.99985264622554,1,2057026,1,547,Enterobacter sp. EA-1
10139,-0.247172215189241,2.64715692714439,7.04376379445648e-09,0.999933035835756,1,340016,1,-200,uncultured virus
10142,-0.75604084225471,2.64166753943109,8.17067320468823e-08,0.999771929572851,1,11320,1,197911,Influenza A virus
10151,-0.46583438177018,3.3334274677093,6.25396090470076e-09,0.999936901702406,1,413503,1,413496,Cronobacter malonaticus
10164,-0.443797920373737,2.4952641486263,3.41069128495519e-08,0.99985264622554,1,351679,1,626,Xenorhabdus hominickii
10167,-0.356303738808328,2.74940079771783,2.38746178382598e-09,0.999961014036165,1,1858609,1,12916,Acidovorax sp. T1
10176,-0.503048177423973,2.54184643948285,1.30113065210935e-07,0.999712193560941,1,1891675,1,53335,Pantoea alhagi
10184,-0.598773592084399,2.54502629083891,1.05269071681846e-07,0.999741124798214,1,204038,1,204037,Dickeya dadantii
10193,-0.598773592084399,2.54502629083891,1.05269071681846e-07,0.999741124798214,1,421,1,416,Methylomonas methanica
10198,-0.183133992042321,2.74385005138123,9.28605459193932e-09,0.999923112511146,1,84135,1,1378,Gemella sanguinis
1020,-0.175881892404711,2.4536715196913,1.20075194232072e-09,0.999972351809682,1,651183,1,182269,Aurantimonas manganoxydans
10211,-0.333608920545334,2.69047237014367,1.03867163758764e-08,0.999918683402728,1,61648,1,579,Kluyvera intermedia
10212,-0.598773592084399,2.54502629083891,1.05269071681846e-07,0.999741124798214,1,261292,1,914,Nitrosomonas sp. Is79A3
10213,-0.598773592084399,2.54502629083891,1.05269071681846e-07,0.999741124798214,1,59620,1,1485,uncultured Clostridium sp.
10222,-0.361817688519877,2.4909259569666,1.3496761575027e-07,0.99970687366384,1,83406,1,-200,gamma proteobacterium HdN1
10226,-0.579398238077202,2.53404258581776,6.98587854230937e-11,0.999993331155717,1,333926,1,325455,Gammapapillomavirus 1
10242,-0.707597913859966,2.61819851453906,1.01048764911127e-08,0.999919794238674,1,2696338,1,-200010699,Brevundimonas phage vB_BsubS-Delta
10245,0.00196951845277814,2.44680394956123,9.05151953389804e-09,0.999924089682599,1,273677,1,33882,Microbacterium oleivorans
10248,-0.343655738366242,2.46744932463573,2.43948356404289e-07,0.99960591582816,1,37752,1,237,Flavobacterium hibernum
10263,0.545593450255191,2.57699766058662,1.1145680645086e-07,0.99973362506853,1,1166130,1,547,Enterobacter sp. R4-368
10267,-0.343655738366242,2.46744932463573,2.43948356404289e-07,0.99960591582816,1,85085,1,1742993,Pseudarthrobacter chlorophenolicus
10279,-0.457608542474583,2.48999767664041,-2.04803944914289e-08,1,1,327575,1,1016,Capnocytophaga leadbetteri
1029,-0.802874115924781,3.57154640850404,-8.00105226517189e-09,1,1,1314,1,1301,Streptococcus pyogenes
10297,-0.348654895856552,2.46850632800346,-3.48854065634896e-08,1,1,2027919,1,547,Enterobacter cloacae complex sp.
10298,-0.804672034265783,2.70436451156935,-2.07556595910319e-07,1,1,67780,1,635,Edwardsiella ictaluri
1030,0.348275431798239,7.16908298582709,1.14298936099799,0.285021545552761,1,1313,1,1301,Streptococcus pneumoniae
10300,-0.945875970645027,2.7039316364752,3.3072055316552e-08,0.999854898917663,1,748103,1,286,Pseudomonas sp. LQ26
10305,-0.57788338023556,2.75476079583546,2.02486027944815e-09,0.999964096433474,1,67825,1,544,Citrobacter rodentium
1032,-0.387345857135318,3.62719451789069,2.07846262660029,0.149390573154476,1,382,1,28105,Sinorhizobium meliloti
1034,0.293852779048828,3.41958487031315,0.139579257705059,0.708699645776876,1,35806,1,34008,Rhodovulum sulfidophilum
10367,-0.491861745573202,2.87811663637688,1.96898461979345e-08,0.999888040429966,1,1855519,1,165695,Sphingobium sp. EP60837
10377,-0.464247571077767,2.49208446616696,-1.04122515054428e-08,1,1,28097,1,48736,Ralstonia syzygii
10380,-0.867568996546345,2.74766045496151,-6.94178829974135e-08,1,1,678601,1,1279,Staphylococcus sp. CDC3
10381,-0.587532245552853,2.53811095646815,4.84884532525598e-09,0.999944440385151,1,29379,1,1279,Staphylococcus auricularis
10395,-0.348654895856552,2.46850632800346,-3.48854065634896e-08,1,1,28152,1,629,Yersinia kristensenii
10397,-0.587532245552853,2.53811095646815,4.84884532525598e-09,0.999944440385151,1,271,1,270,Thermus aquaticus
10398,-0.348654895856552,2.46850632800346,-3.48854065634896e-08,1,1,394935,1,535,Chromobacterium haemolyticum
1040,0.0783692597014075,4.77211009305674,0.0613347194675384,0.804398664412388,1,28141,1,413496,Cronobacter sakazakii
1041,-0.707163152479767,3.92956071979242,6.77714210660971,0.0092332610002906,0.350487050215113,413502,1,413496,Cronobacter turicensis
10410,-0.871449562322762,2.92342278241947,5.49320695597544e-08,0.999812995077662,1,56460,1,338,Xanthomonas vesicatoria
10419,-0.657035479724475,2.56578619431414,7.20041644086677e-08,0.999785898917202,1,1882747,1,1033,Afipia sp. GAS231
10422,-0.460000125618342,2.49644149395789,-4.72347938540452e-09,1,1,28087,1,445,Legionella sainthelensi
10424,-0.587532245552853,2.53811095646815,4.84884532525598e-09,0.999944440385151,1,1804984,1,32008,Burkholderia sp. OLGA172
10431,0.430460671563958,2.6063500444119,2.8545457553264e-08,0.999865194204439,1,1177574,1,838,Prevotella jejuni
10444,0.00389588542622182,2.44973663984301,1.39799998244428e-08,0.999905660484078,1,216142,1,286,Pseudomonas rhizosphaerae
10461,0.0189273430538957,2.46519060894154,7.34334459906449e-09,0.999931626625389,1,73098,1,579,Kluyvera georgiana
10465,0.00869556770046366,2.45491230454772,5.18081400002757e-09,0.999942569967581,1,708186,1,28196,Arcobacter trophiarum
10466,0.00869556770046366,2.45491230454772,5.18081400002757e-09,0.999942569967581,1,90270,1,338,Xanthomonas gardneri
1047,-0.0354612158570446,4.44380679063774,4.02604930942496,0.0448027412597795,0.841748472153433,29405,1,29404,Microlunatus phosphovorus
