Gene.ID,logFC,logCPM,LR,PValue,FDR,tax_id,tax_level,genus_tax_id,name
1,15.6372167844116,17.3483119454464,3.39126219673498,0.0655427575937172,1,37124,1,11019,Chikungunya virus
10058,-15.4485425993471,2.52232751494638,7.66793206707916e-09,0.999930131858801,1,1810504,1,1934947,Immundisolibacter cernigliae
10060,-17.5116039271789,2.55767901585379,1.28433774726489e-08,0.999909576839206,1,148447,1,1822464,Paraburkholderia phymatum
10101,43.178892284741,4.22561086787577,4.69117953372233e-08,0.999827185139522,1,1296,1,1279,Staphylococcus sciuri
10107,34.1290554025549,3.01095234847306,2.01343533845488e-07,0.999641978679292,1,482564,1,1158,Oscillatoria nigro-viridis
10113,24.2086205845033,2.63100645578188,1.21301696687226e-07,0.999722109634189,1,404011,1,22,Shewanella piezotolerans
10114,25.8518556333086,2.64474619262495,1.39656473052696e-07,0.999701825440479,1,535744,1,413496,Cronobacter universalis
1012,17.7261074481323,2.92645634604924,9.38490174462459e-08,0.999755569768125,1,549,1,53335,Pantoea agglomerans
10120,47.5052382160409,3.27181771030526,1.83137004228229e-07,0.999658549226349,1,41,1,40,Stigmatella aurantiaca
10122,24.2086205845033,2.63100645578188,1.21301696687226e-07,0.999722109634189,1,33964,1,1243,Leuconostoc citreum
10124,22.4934915256284,2.6382264059129,-1.27200578958764e-08,1,1,160660,1,1765964,Acidihalobacter prosperus
10126,16.7857062587541,2.53732139236598,1.69766590119025e-07,0.99967124969682,1,708126,1,1470540,Jeotgalibaca dankookensis
10127,24.2086205845033,2.63100645578188,1.21301696687226e-07,0.999722109634189,1,1231,1,35798,Nitrosospira multiformis
10130,13.2367548750745,2.4952641486263,6.12216632944751e-08,0.999802579330983,1,2057026,1,547,Enterobacter sp. EA-1
10139,6.9589125366859,2.64715692714439,1.16952030282391e-08,0.999913713283406,1,340016,1,-200,uncultured virus
10142,22.4473979165248,2.64166753943109,1.48715104231201e-07,0.999692307018101,1,11320,1,197911,Influenza A virus
10151,13.1229284162888,3.3334274677093,2.3234175472453e-08,0.999878380365952,1,413503,1,413496,Cronobacter malonaticus
10164,13.2367548750745,2.4952641486263,6.12216632944751e-08,0.999802579330983,1,351679,1,626,Xenorhabdus hominickii
10167,10.6615262506277,2.74940079771783,5.8537485969623e-09,0.999938954016578,1,1858609,1,12916,Acidovorax sp. T1
10176,11.9877975881464,2.54184643948285,1.04299697767374e-07,0.999742319485521,1,1891675,1,53335,Pantoea alhagi
10184,17.8188823290057,2.54502629083891,-9.33806671987725e-08,1,1,204038,1,204037,Dickeya dadantii
10193,17.8188823290057,2.54502629083891,-9.33806671987725e-08,1,1,421,1,416,Methylomonas methanica
10198,4.93580637294227,2.74385005138123,1.31988571183683e-08,0.999908334011884,1,84135,1,1378,Gemella sanguinis
1020,3.81609582951043,2.4536715196913,1.23363319559644e-10,0.999991137972669,1,651183,1,182269,Aurantimonas manganoxydans
10211,9.97905700137373,2.69047237014367,-2.70154123072075e-07,1,1,61648,1,579,Kluyvera intermedia
10212,17.8188823290057,2.54502629083891,-9.33806671987725e-08,1,1,261292,1,914,Nitrosomonas sp. Is79A3
10213,17.8188823290057,2.54502629083891,-9.33806671987725e-08,1,1,59620,1,1485,uncultured Clostridium sp.
10222,9.24736465421016,2.4909259569666,1.12113975880845e-07,0.999732840925407,1,83406,1,-200,gamma proteobacterium HdN1
10226,17.2471568120452,2.53404258581776,6.98721485115072e-08,0.999789092460438,1,333926,1,325455,Gammapapillomavirus 1
10242,21.0239604172145,2.61819851453906,5.47893130864452e-08,0.999813238228247,1,2696338,1,-200010699,Brevundimonas phage vB_BsubS-Delta
10245,0.0934840869612309,2.44680394956123,2.50901432963246e-09,0.99996003391275,1,273677,1,33882,Microbacterium oleivorans
10248,10.2648039152331,2.46744932463573,2.9360204933937e-08,0.999863283919019,1,37752,1,237,Flavobacterium hibernum
10263,-15.5434749428712,2.57699766058662,1.98514264582172e-07,0.999644503027344,1,1166130,1,547,Enterobacter sp. R4-368
10267,10.2648039152331,2.46744932463573,2.9360204933937e-08,0.999863283919019,1,85085,1,1742993,Pseudarthrobacter chlorophenolicus
