Gene.ID,logFC..Intercept.,logFC.tempTreat28,logFC.tempTreat32,logCPM,LR,PValue,FDR,tax_id,tax_level,genus_tax_id,name
1,-8.45053498201196,-1.56462069896626,8.22523057743021,17.3483118306537,14.4887599993969,0.0023100076405224,0.0046626684583735,37124,1,11019,Chikungunya virus
10058,-14.9784170733278,-6.50860048019704,-6.50860048019704,2.52231551490756,4.86387011555678e-07,0.999999999909782,0.99999999999265,1810504,1,1934947,Immundisolibacter cernigliae
10060,-14.1139819443316,-7.37303560919325,-7.37303560919325,2.55769764796952,1.14268713780064e-06,0.99999999967513,0.99999999999265,148447,1,1822464,Paraburkholderia phymatum
10101,-21.4870175535249,-0.301858841834356,0,4.22832401194884,19.6711906886416,0.00019856751046393,0.000467513420623156,1296,1,1279,Staphylococcus sciuri
10107,-21.4870175535249,0,0,3.01233614873677,3.96334941754617e-07,0.999999999933639,0.99999999999265,482564,1,1158,Oscillatoria nigro-viridis
10113,-21.4870175535249,0,0,2.63148186755379,1.00340601605353e-07,0.999999999991546,0.99999999999265,404011,1,22,Shewanella piezotolerans
10114,-23.7645724545172,2.27755490099229,2.27755490099229,2.64505999055163,18.463365364838,0.000352923812071407,0.000774101806243386,535744,1,413496,Cronobacter universalis
1012,-21.4870175535249,0,3.21753507862262,2.92648163308933,1.26701815261754e-07,0.999999999988005,0.99999999999265,549,1,53335,Pantoea agglomerans
10120,-21.4870175535249,0,5.76780998448234,3.27355819554799,8.69483258725268e-07,0.999999999784369,0.99999999999265,41,1,40,Stigmatella aurantiaca
10122,-21.4870175535249,0,0,2.63148186755379,1.00340601605353e-07,0.999999999991546,0.99999999999265,33964,1,1243,Leuconostoc citreum
10124,-21.4870175535249,0,-0.906492332460281,2.6386949172609,22.7543641221584,4.54346859636001e-05,0.000156497252873757,160660,1,1765964,Acidihalobacter prosperus
10126,-21.4870175535249,0,0,2.53755887209298,1.93798769032583e-07,0.999999999977309,0.99999999999265,708126,1,1470540,Jeotgalibaca dankookensis
10127,-21.4870175535249,0,0,2.63148186755379,1.00340601605353e-07,0.999999999991546,0.99999999999265,1231,1,35798,Nitrosospira multiformis
10130,-21.4870175535249,0,0,2.4953142683744,1.77859203365216e-07,0.99999999998005,0.99999999999265,2057026,1,547,Enterobacter sp. EA-1
